Year,age_group,Sex,percent_of_total_cases
2015,15-19,Female,0.0182
2015,15-19,Male,0.0359
2015,20-24,Female,0.0158
2015,20-24,Male,0.0276
2015,25-29,Female,0.015
2015,25-29,Male,0.0242
2015,30-34,Female,0.0159
2015,30-34,Male,0.0256
2015,35-39,Female,0.0181
2015,35-39,Male,0.0263
2015,40-44,Female,0.0185
2015,40-44,Male,0.0291
2015,45-49,Female,0.025
2015,45-49,Male,0.0363
2015,50-54,Female,0.0354
2015,50-54,Male,0.0481
2015,55-59,Female,0.04
2015,55-59,Male,0.0495
2015,60-64,Female,0.0384
2015,60-64,Male,0.0477
2015,65-69,Female,0.0334
2015,65-69,Male,0.0419
2015,70-74,Female,0.0252
2015,70-74,Male,0.0301
2015,75-79,Female,0.0177
2015,75-79,Male,0.0197
2015,80-84,Female,0.0098
2015,80-84,Male,0.0102
2015,85+,Female,0.0072
2015,85+,Male,0.0064
2016,0-4,Female,0.0169
2016,0-4,Male,0.0195
2016,5-9,Female,0.0366
2016,5-9,Male,0.053
2016,10-14,Female,0.0257
2016,10-14,Male,0.0464
2016,15-19,Female,0.0198
2016,15-19,Male,0.0334
2016,20-24,Female,0.0177
2016,20-24,Male,0.0268
2016,25-29,Female,0.0176
2016,25-29,Male,0.0248
2016,30-34,Female,0.0194
2016,30-34,Male,0.0258
2016,35-39,Female,0.0205
2016,35-39,Male,0.0268
2016,40-44,Female,0.021
2016,40-44,Male,0.0277
2016,45-49,Female,0.0249
2016,45-49,Male,0.0359
2016,50-54,Female,0.0337
2016,50-54,Male,0.0436
2016,55-59,Female,0.0389
2016,55-59,Male,0.0509
2016,60-64,Female,0.0379
2016,60-64,Male,0.0486
2016,65-69,Female,0.0354
2016,65-69,Male,0.043
2016,70-74,Female,0.0259
2016,70-74,Male,0.0301
2016,75-79,Female,0.0177
2016,75-79,Male,0.0202
2016,80-84,Female,0.0104
2016,80-84,Male,0.0111
2016,85+,Female,0.0066
2016,85+,Male,0.0058
2017,0-4,Female,0.0181
2017,0-4,Male,0.0205
2017,5-9,Female,0.033
2017,5-9,Male,0.0516
2017,10-14,Female,0.0248
2017,10-14,Male,0.0458
2017,15-19,Female,0.0187
2017,15-19,Male,0.0312
2017,20-24,Female,0.0162
2017,20-24,Male,0.0244
2017,25-29,Female,0.0166
2017,25-29,Male,0.0245
2017,30-34,Female,0.0185
2017,30-34,Male,0.0253
2017,35-39,Female,0.0194
2017,35-39,Male,0.0283
2017,40-44,Female,0.0184
2017,40-44,Male,0.0266
2017,45-49,Female,0.0245
2017,45-49,Male,0.0338
2017,50-54,Female,0.0334
2017,50-54,Male,0.0408
2017,55-59,Female,0.0383
2017,55-59,Male,0.0506
2017,60-64,Female,0.0391
2017,60-64,Male,0.0527
2017,65-69,Female,0.0362
2017,65-69,Male,0.0471
2017,70-74,Female,0.0277
2017,70-74,Male,0.0343
2017,75-79,Female,0.0199
2017,75-79,Male,0.0223
2017,80-84,Female,0.0102
2017,80-84,Male,0.012
2017,85+,Female,0.0079
2017,85+,Male,0.0072
2018,0-4,Female,0.0168
2018,0-4,Male,0.0185
2018,5-9,Female,0.0331
2018,5-9,Male,0.0495
2018,10-14,Female,0.0252
2018,10-14,Male,0.044
2018,15-19,Female,0.0176
2018,15-19,Male,0.0312
2018,20-24,Female,0.0163
2018,20-24,Male,0.0222
2018,25-29,Female,0.0163
2018,25-29,Male,0.0231
2018,30-34,Female,0.0183
2018,30-34,Male,0.0254
2018,35-39,Female,0.0189
2018,35-39,Male,0.0262
2018,40-44,Female,0.0185
2018,40-44,Male,0.0265
2018,45-49,Female,0.0222
2018,45-49,Male,0.0325
2018,50-54,Female,0.0296
2018,50-54,Male,0.039
2018,55-59,Female,0.039
2018,55-59,Male,0.0518
2018,60-64,Female,0.0385
2018,60-64,Male,0.0516
2018,65-69,Female,0.0394
2018,65-69,Male,0.0498
2018,70-74,Female,0.0302
2018,70-74,Male,0.0376
2018,75-79,Female,0.0231
2018,75-79,Male,0.0252
2018,80-84,Female,0.0125
2018,80-84,Male,0.0138
2018,85+,Female,0.0085
2018,85+,Male,0.0082
2019,0-4,Female,0.0139
2019,0-4,Male,0.0169
2019,5-9,Female,0.0308
2019,5-9,Male,0.0456
2019,10-14,Female,0.0213
2019,10-14,Male,0.0401
2019,15-19,Female,0.018
2019,15-19,Male,0.0276
2019,20-24,Female,0.0166
2019,20-24,Male,0.0213
2019,25-29,Female,0.0166
2019,25-29,Male,0.0231
2019,30-34,Female,0.0186
2019,30-34,Male,0.0269
2019,35-39,Female,0.0186
2019,35-39,Male,0.0294
2019,40-44,Female,0.019
2019,40-44,Male,0.0269
2019,45-49,Female,0.0243
2019,45-49,Male,0.0315
2019,50-54,Female,0.0304
2019,50-54,Male,0.0399
2019,55-59,Female,0.0392
2019,55-59,Male,0.0519
2019,60-64,Female,0.0408
2019,60-64,Male,0.0507
2019,65-69,Female,0.0386
2019,65-69,Male,0.0518
2019,70-74,Female,0.0337
2019,70-74,Male,0.0393
2019,75-79,Female,0.0232
2019,75-79,Male,0.0281
2019,80-84,Female,0.0138
2019,80-84,Male,0.0143
2019,85+,Female,0.0089
2019,85+,Male,0.0083
2020,0-4,Female,0.0171
2020,0-4,Male,0.0197
2020,5-9,Female,0.0351
2020,5-9,Male,0.0468
2020,10-14,Female,0.0226
2020,10-14,Male,0.0383
2020,15-19,Female,0.0169
2020,15-19,Male,0.0281
2020,20-24,Female,0.0157
2020,20-24,Male,0.0227
2020,25-29,Female,0.0182
2020,25-29,Male,0.0231
2020,30-34,Female,0.0195
2020,30-34,Male,0.0264
2020,35-39,Female,0.0224
2020,35-39,Male,0.0279
2020,40-44,Female,0.0211
2020,40-44,Male,0.0309
2020,45-49,Female,0.0235
2020,45-49,Male,0.0323
2020,50-54,Female,0.0314
2020,50-54,Male,0.0408
2020,55-59,Female,0.0394
2020,55-59,Male,0.0458
2020,60-64,Female,0.0443
2020,60-64,Male,0.0493
2020,65-69,Female,0.0408
2020,65-69,Male,0.047
2020,70-74,Female,0.0342
2020,70-74,Male,0.0362
2020,75-79,Female,0.0211
2020,75-79,Male,0.0232
2020,80-84,Female,0.0117
2020,80-84,Male,0.0118
2020,85+,Female,0.0076
2020,85+,Male,0.0068
2021,0-4,Female,0.0163
2021,0-4,Male,0.0196
2021,5-9,Female,0.0334
2021,5-9,Male,0.0521
2021,10-14,Female,0.0216
2021,10-14,Male,0.04
2021,15-19,Female,0.0155
2021,15-19,Male,0.0273
2021,20-24,Female,0.0133
2021,20-24,Male,0.0208
2021,25-29,Female,0.0155
2021,25-29,Male,0.021
2021,30-34,Female,0.0177
2021,30-34,Male,0.0285
2021,35-39,Female,0.0185
2021,35-39,Male,0.0312
2021,40-44,Female,0.0201
2021,40-44,Male,0.0302
2021,45-49,Female,0.0207
2021,45-49,Male,0.0317
2021,50-54,Female,0.0283
2021,50-54,Male,0.0381
2021,55-59,Female,0.0383
2021,55-59,Male,0.048
2021,60-64,Female,0.0416
2021,60-64,Male,0.053
2021,65-69,Female,0.0427
2021,65-69,Male,0.0499
2021,70-74,Female,0.0356
2021,70-74,Male,0.0408
2021,75-79,Female,0.022
2021,75-79,Male,0.0237
2021,80-84,Female,0.0136
2021,80-84,Male,0.0141
2021,85+,Female,0.0068
2021,85+,Male,0.0082
2022,0-4,Female,0.0086
2022,0-4,Male,0.0092
2022,5-9,Female,0.0233
2022,5-9,Male,0.0307
2022,10-14,Female,0.0171
2022,10-14,Male,0.0317
2022,15-19,Female,0.0158
2022,15-19,Male,0.0237
2022,20-24,Female,0.0171
2022,20-24,Male,0.0204
2022,25-29,Female,0.0155
2022,25-29,Male,0.0214
2022,30-34,Female,0.0193
2022,30-34,Male,0.0258
2022,35-39,Female,0.0217
2022,35-39,Male,0.0279
2022,40-44,Female,0.022
2022,40-44,Male,0.0315
2022,45-49,Female,0.023
2022,45-49,Male,0.0309
2022,50-54,Female,0.0295
2022,50-54,Male,0.0374
2022,55-59,Female,0.037
2022,55-59,Male,0.0506
2022,60-64,Female,0.0436
2022,60-64,Male,0.0566
2022,65-69,Female,0.0421
2022,65-69,Male,0.0588
2022,70-74,Female,0.0368
2022,70-74,Male,0.051
2022,75-79,Female,0.0276
2022,75-79,Male,0.0346
2022,80-84,Female,0.016
2022,80-84,Male,0.0184
2022,85+,Female,0.0112
2022,85+,Male,0.0121
2023,0-4,Female,0.0092
2023,0-4,Male,0.0101
2023,5-9,Female,0.0225
2023,5-9,Male,0.033
2023,10-14,Female,0.0167
2023,10-14,Male,0.0305
2023,15-19,Female,0.0152
2023,15-19,Male,0.0233
2023,20-24,Female,0.0158
2023,20-24,Male,0.0197
2023,25-29,Female,0.0158
2023,25-29,Male,0.0211
2023,30-34,Female,0.0193
2023,30-34,Male,0.0258
2023,35-39,Female,0.0203
2023,35-39,Male,0.0299
2023,40-44,Female,0.022
2023,40-44,Male,0.0324
2023,45-49,Female,0.0229
2023,45-49,Male,0.0308
2023,50-54,Female,0.0293
2023,50-54,Male,0.038
2023,55-59,Female,0.0357
2023,55-59,Male,0.0479
2023,60-64,Female,0.0431
2023,60-64,Male,0.0572
2023,65-69,Female,0.0438
2023,65-69,Male,0.0583
2023,70-74,Female,0.0375
2023,70-74,Male,0.0508
2023,75-79,Female,0.0284
2023,75-79,Male,0.0345
2023,80-84,Female,0.0181
2023,80-84,Male,0.0196
2023,85+,Female,0.0104
2023,85+,Male,0.011
